Merchant_ID,Fraudster
221592,0
316935,1
38454,1
214437,1
296240,1
10593,0
315157,0
359871,0
142564,1
34906,0
361534,0
363802,0
57301,0
222057,0
2032,1
332242,0
295241,0
62362,0
58608,0
294422,0
218327,0
304269,0
87941,0
299825,0
138474,0
123991,0
10938,0
267800,0
36672,0
141380,0
389585,0
27576,0
396737,0
216009,0
251796,1
67534,0
150764,1
179261,0
47020,0
20734,0
319434,0
287442,0
214867,0
1726,0
298082,0
389371,0
328098,0
223794,0
143492,0
115084,0
327104,0
148998,0
117595,0
107571,0
244664,0
350246,0
257734,0
54412,0
23843,0
114094,0
103780,0
128237,0
364109,0
91247,0
393235,0
289289,0
399778,0
158550,0
122041,1
327510,0
176207,0
308615,1
356227,0
149469,0
133111,0
334186,1
51651,1
283778,0
286307,0
151034,0
24778,0
257634,1
143523,0
331049,0
357831,0
364865,0
241594,0
376307,0
275846,1
40079,0
176145,0
60220,0
357233,0
298570,0
355523,0
46685,0
249321,0
268552,0
94328,0
169097,0
260044,0
44793,1
210816,0
26134,0
370338,0
3840,0
111012,0
149342,0
376276,0
320815,0
207706,0
151099,0
21308,0
238367,0
272186,0
41328,0
381507,0
131472,0
20372,0
179039,0
34310,0
379647,0
390635,0
151795,0
234550,0
285766,0
197767,0
93054,1
24056,0
260785,0
274488,0
106982,1
34348,0
171495,0
298104,0
211561,0
289566,0
142167,0
72270,0
46431,0
233241,0
376379,0
268075,1
10735,0
313268,0
172864,0
339258,0
10386,0
246913,1
327961,0
24490,0
188440,0
256452,0
137961,1
169778,0
396813,0
381415,0
355068,1
89657,1
43248,0
178153,0
345003,0
88645,0
253428,0
353533,0
251750,0
384849,0
155787,0
143452,0
284478,0
166902,0
182009,0
38131,0
66049,0
53421,1
99971,0
331501,0
23335,0
233405,0
240029,0
286506,0
198022,0
30917,0
151597,0
207127,0
396324,0
144453,0
351160,0
255621,1
356518,1
269472,0
272078,0
224984,0
110676,0
370606,0
174425,0
389344,0
264111,0
350537,0
95284,0
23064,0
227756,0
232609,0
325680,0
204454,1
389777,0
373091,0
56831,0
29083,0
352222,0
57475,0
296516,0
355640,0
96695,0
108587,0
324640,0
214378,0
144354,0
51746,0
311244,0
194894,0
232904,0
239326,0
268610,0
343016,1
206137,0
151641,0
272215,0
298331,0
270611,0
13829,0
6014,0
279830,0
110497,0
122656,0
1119,0
117979,0
381136,0
263291,0
16449,0
355756,0
63012,0
131827,0
143369,0
197191,0
29622,0
106208,0
184181,0
73799,0
15029,0
36070,0
333598,0
237088,0
46970,0
206061,0
325924,0
168521,0
241043,0
107968,0
15296,0
148215,0
390978,0
243514,0
385932,0
99411,0
8888,0
161609,0
47022,0
100303,0
371565,0
353433,0
311989,0
48288,1
154406,0
224489,0
67257,0
158872,0
332378,0
153750,0
29580,0
37503,0
317981,0
352334,0
23577,0
190091,0
372636,0
131038,0
53765,1
93204,0
297407,0
306101,0
113645,0
172834,0
15342,0
18443,0
340820,0
124374,0
94492,0
5768,1
71652,0
395374,0
38878,0
347179,0
363252,0
34479,0
54049,0
161916,0
128933,0
323201,0
377639,0
134769,0
359929,0
277592,0
131584,0
136178,0
257625,0
120736,0
52636,1
250721,0
67472,0
106800,0
317417,0
87383,0
372588,0
13498,0
41376,0
388828,0
83377,0
372835,0
234017,0
29559,0
358317,0
53393,0
33294,0
63919,0
210013,0
168075,0
230606,0
281828,0
25138,0
85361,0
358609,0
362761,0
32992,1
41698,0
369593,0
294707,0
276832,0
214837,0
211258,0
239959,0
289836,0
50721,0
304851,0
358411,0
221906,0
250676,0
384911,0
278186,0
101946,0
377320,0
143762,0
65864,0
185748,0
182997,0
359449,0
19700,0
266673,0
168524,0
281953,0
204894,1
156737,0
208669,0
121886,0
63627,0
161587,0
65868,1
223349,0
120963,1
284911,1
230106,0
69555,0
229081,1
264215,0
282459,0
219389,0
